name,reference,field,value_m,source,reading
Toroid base 18.28x11.68x2.03 6P horizontal,HTM460-6,base.mounting,horizontal,https://lodestonepacific.com/wp-content/uploads/2020/07/HTM-Series-Full-Page.pdf,"application text: 'Low profile horizontal mounting of wound toroids'"
Toroid base 18.28x11.68x2.03 6P horizontal,HTM460-6,base.length,0.01828 (+-0.000254),same,"series table LENGTH .720 [18.28]; general tolerance +-.010 inches printed on the sheet"
Toroid base 18.28x11.68x2.03 6P horizontal,HTM460-6,base.width,0.01168 (+-0.000254),same,"series table WIDTH .460 [11.68]"
Toroid base 18.28x11.68x2.03 6P horizontal,HTM460-6,base.standoff,0.002032 (+-0.000254),same,"generic side view: .080 from the seating plane (underside, where the terminals exit) to the plate top the ring lies on; inches x 25.4 (no mm printed). The HTM461-6 sheet (same body with post) prints this as 0.079 [2.00]; the series sheet's .080 is used"
Toroid base 18.28x11.68x2.03 6P horizontal,HTM460-6,base.height,0.002032 (+-0.000254),same,"series table HT. .000 (no centre post), so the body top is the .080 plate top"
Toroid base 18.28x11.68x2.03 6P horizontal,HTM460-6,base.maximumCoreOuterDiameter,0.0127,same,"series table CORE SIZES 'up to .500 inches' (the application text's '.400 to .850 inches' is the whole series)"
Toroid base 18.28x11.68x2.03 6P horizontal,HTM460-6,pinout.rowDistance,0.0162,same,"series table X .638 [16.20], drawn between the centres of the two terminal rows"
Toroid base 18.28x11.68x2.03 6P horizontal,HTM460-6,pinout.numberPins/numberPinsPerRow,6 / [3;3],same,"'6 Terminals'; drawing shows 3 terminals on each short side"
Toroid base 18.28x11.68x2.03 6P horizontal,HTM460-6,pinout.pitch,0.003556,same,"DERIVED (accepted by Alf 2026-09-13, ABT #1173): printed .280 spans the first to last terminal centre of an evenly drawn 3-terminal row; pitch = .280 / (3 - 1) = .140 in"
Toroid base 23.79x15.24x2.03 6P horizontal,HTM600-6,base.length,0.02379 (+-0.000254),same,"series table LENGTH .937 [23.79]"
Toroid base 23.79x15.24x2.03 6P horizontal,HTM600-6,base.width,0.01524 (+-0.000254),same,"series table WIDTH .600 [15.24]"
Toroid base 23.79x15.24x2.03 6P horizontal,HTM600-6,base.standoff/height,0.002032 (+-0.000254),same,"generic .080; HT. .000 (same readings as HTM460-6; HTM601-6 sheet prints 0.080 [2.03])"
Toroid base 23.79x15.24x2.03 6P horizontal,HTM600-6,base.maximumCoreOuterDiameter,0.01905,same,"CORE SIZES 'up to .750 inches'"
Toroid base 23.79x15.24x2.03 6P horizontal,HTM600-6,pinout.rowDistance,0.02153,same,"X .848 [21.53]"
Toroid base 23.79x15.24x2.03 6P horizontal,HTM600-6,pinout.pitch,0.003556,same,"DERIVED: .280 / 2 as for HTM460-6"
Toroid base 30.68x21.59x2.03 6P horizontal,HTM850-6,base.length,0.03068 (+-0.000254),same,"series table LENGTH 1.208 [30.68]"
Toroid base 30.68x21.59x2.03 6P horizontal,HTM850-6,base.width,0.02159 (+-0.000254),same,"series table WIDTH .850 [21.59]"
Toroid base 30.68x21.59x2.03 6P horizontal,HTM850-6,base.standoff/height,0.002032 (+-0.000254),same,"generic .080; HT. .000"
Toroid base 30.68x21.59x2.03 6P horizontal,HTM850-6,base.maximumCoreOuterDiameter,0.0254,same,"CORE SIZES 'up to 1.00 inches'"
Toroid base 30.68x21.59x2.03 6P horizontal,HTM850-6,pinout.rowDistance,0.0287,same,"X 1.130 [28.70]"
Toroid base 30.68x21.59x2.03 6P horizontal,HTM850-6,pinout.pitch,0.003556,same,"DERIVED: .280 / 2 as for HTM460-6"
all three,,not written,,same,"pinDescription (terminal width not dimensioned; only thickness .014 on the HTM461/601 sheets); maximumCoreHeight, pocket, boatWidth (not stated); functionalDescription.dimensions is {} because a catalogue base carries no ring (MKF is_toroid_base_record)"
all three,HTM460-6/HTM600-6/HTM850-6,pinout.pinDescription.shape/type,rectangular / tht,https://lodestonepacific.com/wp-content/uploads/2020/07/HTM-Series-Full-Page.pdf,"'6 Terminals: Brass Nickel Flash 100% Tin Plated'; drawn as flat through-hole tabs"
